date,score,phase,n_indicators
2018-02-09,75.5,3,14
2018-02-12,75.5,3,14
2018-02-13,84.5,3,14
2018-02-14,84.5,3,14
2018-02-15,68.5,3,14
2018-02-16,68.5,3,14
2018-02-20,68.5,3,14
2018-02-21,52.5,2,14
2018-02-22,68.5,3,14
2018-02-23,68.5,3,14
2018-02-26,68.5,3,14
2018-02-27,52.5,2,14
2018-02-28,52.5,2,14
2018-03-01,52.5,2,14
2018-03-02,68.5,3,14
2018-03-05,52.5,2,14
2018-03-06,68.5,3,14
2018-03-07,68.5,3,14
2018-03-08,68.5,3,14
2018-03-09,68.5,3,14
2018-03-12,84.5,3,14
2018-03-13,84.5,3,14
2018-03-14,84.5,3,14
2018-03-15,68.5,3,14
2018-03-16,68.5,3,14
2018-03-19,84.5,3,14
2018-03-20,68.5,3,14
2018-03-21,84.5,3,14
2018-03-22,84.5,3,14
2018-03-23,84.5,3,14
2018-03-26,84.5,3,14
2018-03-27,84.5,3,14
2018-03-28,68.5,3,14
2018-03-29,68.5,3,14
2018-04-02,68.5,3,14
2018-04-03,68.5,3,14
2018-04-04,68.5,3,14
2018-04-05,68.5,3,14
2018-04-06,68.5,3,14
2018-04-09,84.5,3,14
2018-04-10,84.5,3,14
2018-04-11,84.5,3,14
2018-04-12,84.5,3,14
2018-04-13,84.5,3,14
2018-04-16,84.5,3,14
2018-04-17,84.5,3,14
2018-04-18,84.5,3,14
2018-04-19,84.5,3,14
2018-04-20,68.5,3,14
2018-04-23,68.5,3,14
2018-04-24,68.5,3,14
2018-04-25,68.5,3,14
2018-04-26,68.5,3,14
2018-04-27,68.5,3,14
2018-04-30,68.5,3,14
2018-05-01,68.5,3,14
2018-05-02,80.5,3,14
2018-05-03,80.5,3,14
2018-05-04,80.5,3,14
2018-05-07,80.5,3,14
2018-05-08,80.5,3,14
2018-05-09,68.5,3,14
2018-05-10,68.5,3,14
2018-05-11,68.5,3,14
2018-05-14,68.5,3,14
2018-05-15,68.5,3,14
2018-05-16,68.5,3,14
2018-05-17,68.5,3,14
2018-05-18,68.5,3,14
2018-05-21,68.5,3,14
2018-05-22,68.5,3,14
2018-05-23,68.5,3,14
2018-05-24,68.5,3,14
2018-05-25,68.5,3,14
2018-05-29,68.5,3,14
2018-05-30,68.5,3,14
2018-05-31,68.5,3,14
2018-06-01,68.5,3,14
2018-06-04,68.5,3,14
2018-06-05,68.5,3,14
2018-06-06,68.5,3,14
2018-06-07,68.5,3,14
2018-06-08,68.5,3,14
2018-06-11,68.5,3,14
2018-06-12,68.5,3,14
2018-06-13,68.5,3,14
2018-06-14,68.5,3,14
2018-06-15,68.5,3,14
2018-06-18,68.5,3,14
2018-06-19,53.5,2,14
2018-06-20,65.5,3,14
2018-06-21,80.5,3,14
2018-06-22,80.5,3,14
2018-06-25,80.5,3,14
2018-06-26,80.5,3,14
2018-06-27,65.5,3,14
2018-06-28,65.5,3,14
2018-06-29,80.5,3,14
2018-07-02,80.5,3,14
2018-07-03,80.5,3,14
2018-07-05,80.5,3,14
2018-07-06,80.5,3,14
2018-07-09,80.5,3,14
2018-07-10,80.5,3,14
2018-07-11,80.5,3,14
2018-07-12,80.5,3,14
2018-07-13,80.5,3,14
2018-07-16,64.5,3,14
2018-07-17,64.5,3,14
2018-07-18,49.5,2,14
2018-07-19,49.5,2,14
2018-07-20,64.5,3,14
2018-07-23,64.5,3,14
2018-07-24,56.5,2,14
